"","rownames.downRegulated_DEGs.","expres"
"1","CBSL",5.42756814834542
"2","SLC4A4",5.52408159646575
"3","HOMER2",5.3144559015404
"4","AQP12B",5.29024204895652
"5","NR5A2",6.56746441278342
"6","PDK4",7.18465025731653
"7","ALB",5.97319347762974
"8","SEL1L",5.06015057987384
"9","ANPEP",8.75338878335119
"10","GATM",11.1469117019519
"11","DMD",7.59911212919588
"12","SLC4A4",10.1816068951801
"13","GSTA1",8.19800548594932
"14","LMO3",5.86865898347569
"15","GC",7.13768632772939
"16","AOX1",5.61117301834511
"17","AOX1",7.05244177267668
"18","FGL1",6.84583273353439
"19","GAMT",6.01606741036988
"20","AKAP7",8.21322669982873
"21","REG1B",9.8299825914443
"22","CEL",10.0416332367835
"23","KCNK3",5.39994970508257
"24","PDK4",6.60014401921551
"25","DPEP1",6.61680062142088
"26","ACADL",5.1637881777114
"27","ACADL",3.92938354340263
"28","CPA2",9.39216058916622
"29","EGF",5.16305085156838
"30","LEFTY1",6.14965132228628
"31","PDIA2",6.68305487002823
"32","PNLIPRP1",7.83879464949843
"33","AQP8",5.73154732328277
"34","IAPP",7.72622335687922
"35","CELP",8.66873542661315
"36","SFRP5",5.40186815951342
"37","SERPINI2",6.94173578028034
"38","REG1CP",5.42911831633297
"39","NR5A2",4.78885981352272
"40","NR5A2",6.05255492533765
"41","LGALS2",7.14841744794034
"42","ABAT",8.9373556769889
"43","DLK1",6.37797807410684
"44","ADH1B",8.96830342274155
"45","DNASE1",4.25362646305894
"46","C6",6.89653472914998
"47","NR5A2",6.41987404974212
"48","GNMT",4.67839229590322
"49","P2RX1",5.93575687680626
"50","PNLIPRP1",6.86732855740283
"51","SLC4A4",6.9526773205514
"52","SLC4A4",5.87656473332765
"53","RGN",5.87067147113922
"54","ALB",6.73839990471829
"55","SLC4A4",6.82134393102386
"56","PNLIPRP2",9.25837574215825
"57","CBSL",5.440224416145
"58","SST",10.217032259235
"59","MYRIP",5.05497805521274
"60","GP2",4.88294633882115
"61","CTRL",7.40445386940163
"62","PAK3",6.42178595264434
"63","MTUS2",4.25302543034614
"64","DIRAS3",5.82727428101638
"65","KLK1",7.83357476801021
"66","GATM",10.1385668638623
"67","HOMER2",5.85100050099488
"68","MT1M",7.35182182429345
"69","BEX1",7.99728918039234
"70","SYBU",7.90889797089975
"71","KCNJ16",6.78065426510614
"72","AL590556.3",5.52118585504236
"73","SLC16A10",6.03985675718993
"74","TRHDE",4.97033669523149
"75","ERO1B",6.58185935324278
"76","CUZD1",8.40506790283943
"77","TEX11",4.75249407671487
"78","RBPJL",4.51898553930354
"79","PAIP2B",5.49373621120997
"80","ELAPOR1",5.28347818353288
"81","BACE1",7.90501978470037
"82","BACE1",6.75722092396885
"83","GUCA1C",3.93346911508381
"84","PDK4",10.3243685064114
"85","SLC1A2",4.37625772673444
"86","ELAPOR1",7.34069132933075
"87","ERP27",8.07960423991767
"88","ZBTB16",8.0624989685098
"89","TPST2",6.19224393279172
"90","SPX",4.75651074641962
"91","TMEM52",4.86217621124533
"92","AC084375.1",4.22200227985174
"93","ERO1B",7.87181671513097
"94","TEX11",5.40859052055843
"95","TEX11",5.62142293455907
"96","TPST2",4.94578933207374
"97","F11",5.41493145855802
"98","SLC16A10",5.43661594832175
"99","TMED6",6.69643021678006
"100","ALKAL2",6.23172705905082
"101","ELAPOR1",4.9498222557574
